year,office,district,votefor,candidate,party,candidateid,votes,type,winner
2016,LIEUTENANT GOVERNOR, ,1,DAVID ZUCKERMAN,PROG/DEM,3908,159620,Registered,FALSE
2016,LIEUTENANT GOVERNOR, ,1,RANDY BROCK,REPUBLICAN,3826,139311,Registered,FALSE
2016,LIEUTENANT GOVERNOR, ,1,BOOTS WARDINSKI,LIBERTY UNION,3681,7030,Registered,FALSE
2016,LIEUTENANT GOVERNOR, ,1,Write-in, , ,539, ,
2016,LIEUTENANT GOVERNOR, ,1,Spoiled, , ,164, ,
2016,LIEUTENANT GOVERNOR, ,1,Blank, , ,12557, ,
2016,STATE TREASURER, ,1,DON SCHRAMM,PROGRESSIVE,18244,37285,Registered,FALSE
2016,STATE TREASURER, ,1,BETH PEARCE,DEM/REP,3753,234188,Registered,FALSE
2016,STATE TREASURER, ,1,MURRAY NGOIMA,LIBERTY UNION,3684,12449,Registered,FALSE
2016,STATE TREASURER, ,1,Write-in, , ,666, ,
2016,STATE TREASURER, ,1,Spoiled, , ,264, ,
2016,STATE TREASURER, ,1,Blank, , ,32482, ,
2016,SECRETARY OF STATE, ,1,"MARY ALICE ""MAL"" HERBERT",LIBERTY UNION,3682,29703,Registered,FALSE
2016,SECRETARY OF STATE, ,1,JIM CONDOS,DEM/REP,3576,255110,Registered,FALSE
2016,SECRETARY OF STATE, ,1,Write-in, , ,607, ,
2016,SECRETARY OF STATE, ,1,Spoiled, , ,223, ,
2016,SECRETARY OF STATE, ,1,Blank, , ,32187, ,
2016,AUDITOR OF ACCOUNTS, ,1,DOUG HOFFER,DEM/PROG,3793,159631,Registered,FALSE
2016,AUDITOR OF ACCOUNTS, ,1,MARINA BROWN,LIBERTY UNION,3686,15091,Registered,FALSE
2016,AUDITOR OF ACCOUNTS, ,1,DAN FELICIANO,REPUBLICAN,3925,113205,Registered,FALSE
2016,AUDITOR OF ACCOUNTS, ,1,Write-in, , ,231, ,
2016,AUDITOR OF ACCOUNTS, ,1,Spoiled, , ,131, ,
2016,AUDITOR OF ACCOUNTS, ,1,Blank, , ,29590, ,
2016,ATTORNEY GENERAL, ,1,ROSEMARIE JACKOWSKI,LIBERTY UNION,3685,11830,Registered,FALSE
2016,ATTORNEY GENERAL, ,1,"DEBORAH ""DEB"" BUCKNAM",REPUBLICAN,3930,88405,Registered,FALSE
2016,ATTORNEY GENERAL, ,1,T.J. DONOVAN,DEMOCRATIC,3756,199952,Registered,FALSE
2016,ATTORNEY GENERAL, ,1,Write-in, , ,209, ,
2016,ATTORNEY GENERAL, ,1,Spoiled, , ,114, ,
2016,ATTORNEY GENERAL, ,1,Blank, , ,18422, ,
2016,STATE SENATOR,ADDISON SENATE,2,PETER BRIGGS,REPUBLICAN,3863,7329,Registered,FALSE
2016,STATE SENATOR,ADDISON SENATE,2,LYNN DIKE,REPUBLICAN,3866,5962,Registered,FALSE
2016,STATE SENATOR,ADDISON SENATE,2,CHRISTOPHER BRAY,DEMOCRATIC,3838,9544,Registered,FALSE
2016,STATE SENATOR,ADDISON SENATE,2,CLAIRE AYER,DEMOCRATIC,3655,11987,Registered,FALSE
2016,STATE SENATOR,ADDISON SENATE,2,Write-in, , ,25, ,
2016,STATE SENATOR,ADDISON SENATE,2,Spoiled, , ,10, ,
2016,STATE SENATOR,ADDISON SENATE,2,Blank, , ,6425, ,
2016,STATE SENATOR,BENNINGTON SENATE,2,DICK SEARS,DEMOCRATIC,3733,13333,Registered,FALSE
2016,STATE SENATOR,BENNINGTON SENATE,2,BRIAN CAMPION,DEMOCRATIC,3732,11507,Registered,FALSE
2016,STATE SENATOR,BENNINGTON SENATE,2,Write-in, , ,238, ,
2016,STATE SENATOR,BENNINGTON SENATE,2,Spoiled, , ,28, ,
2016,STATE SENATOR,BENNINGTON SENATE,2,Blank, , ,12526, ,
2016,STATE SENATOR,CALEDONIA SENATE,2,JANE KITCHEL,DEM/REP,3783,12382,Registered,FALSE
2016,STATE SENATOR,CALEDONIA SENATE,2,GALEN DIVELY III,MARIJUANA ,4097,2443,Registered,FALSE
2016,STATE SENATOR,CALEDONIA SENATE,2,JOE BENNING,REP/DEM,269,10908,Registered,FALSE
2016,STATE SENATOR,CALEDONIA SENATE,2,Write-in, , ,109, ,
2016,STATE SENATOR,CALEDONIA SENATE,2,Spoiled, , ,14, ,
2016,STATE SENATOR,CALEDONIA SENATE,2,Blank, , ,11538, ,
2016,STATE SENATOR,CHITTENDEN SENATE,6,DEBBIE INGRAM,DEMOCRATIC,3704,40454,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,PHIL BARUTH,DEM/PROG,3898,37446,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,"VIRGINIA ""GINNY"" LYONS",DEMOCRATIC,3707,41211,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,TOM LICATA,INDEPENDENT,4031,17017,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,CHRISTOPHER A. PEARSON,PROG/DEM,3811,31179,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,JOHN C. GIFFORD,REPUBLICAN,3647,25341,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,MICHAEL SIROTKIN,DEMOCRATIC,3801,37572,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,TIM ASHE,DEM/PROG,3808,44287,Registered,FALSE
2016,STATE SENATOR,CHITTENDEN SENATE,6,Write-in, , ,732, ,
2016,STATE SENATOR,CHITTENDEN SENATE,6,Spoiled, , ,236, ,
2016,STATE SENATOR,CHITTENDEN SENATE,6,Blank, , ,141620, ,
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,ROBERT A. STARR,DEMOCRATIC,3709,9381,Registered,FALSE
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,JOHN S. RODGERS,DEMOCRATIC,3921,8601,Registered,FALSE
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,ERIC O. COLLINS,REPUBLICAN,267,4637,Registered,FALSE
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,MARCIA HORNE,REPUBLICAN,3618,5199,Registered,FALSE
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,Write-in, , ,54, ,
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,Spoiled, , ,48, ,
2016,STATE SENATOR,ESSEX-ORLEANS SENATE,2,Blank, , ,7182, ,
2016,STATE SENATOR,FRANKLIN SENATE,2,SARA BRANON KITTELL,DEMOCRATIC,3703,8536,Registered,FALSE
2016,STATE SENATOR,FRANKLIN SENATE,2,CAROLYN WHITNEY BRANAGAN,REPUBLICAN,556,9424,Registered,FALSE
2016,STATE SENATOR,FRANKLIN SENATE,2,DUSTIN ALLARD DEGREE,REPUBLICAN,3821,10540,Registered,FALSE
2016,STATE SENATOR,FRANKLIN SENATE,2,DENISE SMITH,DEMOCRATIC,3673,6210,Registered,FALSE
2016,STATE SENATOR,FRANKLIN SENATE,2,Write-in, , ,59, ,
2016,STATE SENATOR,FRANKLIN SENATE,2,Spoiled, , ,17, ,
2016,STATE SENATOR,FRANKLIN SENATE,2,Blank, , ,7596, ,
2016,STATE SENATOR,GRAND ISLE SENATE,1,"RICHARD ""DICK"" MAZZA",DEM/REP,3695,9771,Registered,FALSE
2016,STATE SENATOR,GRAND ISLE SENATE,1,Write-in, , ,82, ,
2016,STATE SENATOR,GRAND ISLE SENATE,1,Spoiled, , ,469, ,
2016,STATE SENATOR,GRAND ISLE SENATE,1,Blank, , ,951, ,
2016,STATE SENATOR,LAMOILLE SENATE,1,GEORGE GAY,DEMOCRATIC,3920,5436,Registered,FALSE
2016,STATE SENATOR,LAMOILLE SENATE,1,RICHARD A. WESTMAN,REPUBLICAN,3828,6195,Registered,FALSE
2016,STATE SENATOR,LAMOILLE SENATE,1,Write-in, , ,20, ,
2016,STATE SENATOR,LAMOILLE SENATE,1,Spoiled, , ,4, ,
2016,STATE SENATOR,LAMOILLE SENATE,1,Blank, , ,350, ,
2016,STATE SENATOR,ORANGE SENATE,1,MARK A. MACDONALD,DEMOCRATIC,3907,5723,Registered,FALSE
2016,STATE SENATOR,ORANGE SENATE,1,STEPHEN W. WEBSTER,REPUBLICAN,3906,4409,Registered,FALSE
2016,STATE SENATOR,ORANGE SENATE,1,Write-in, , ,19, ,
2016,STATE SENATOR,ORANGE SENATE,1,Spoiled, , ,7, ,
2016,STATE SENATOR,ORANGE SENATE,1,Blank, , ,441, ,
2016,STATE SENATOR,RUTLAND SENATE,3,KEVIN J. MULLIN,REPUBLICAN,3698,14191,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,RICHARD LENCHUS,INDEPENDENT,3972,2067,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,PEG FLORY,REPUBLICAN,3854,14782,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,KORRINE C. RODRIGUE,DEMOCRATIC,3699,9212,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,CHERYL HOOKER,DEMOCRATIC,18245,10641,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,"BRIAN ""BC"" COLLAMORE",REPUBLICAN,3852,13680,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,SCOTT GARREN,DEMOCRATIC,18246,6428,Registered,FALSE
2016,STATE SENATOR,RUTLAND SENATE,3,Write-in, , ,371, ,
2016,STATE SENATOR,RUTLAND SENATE,3,Spoiled, , ,36, ,
2016,STATE SENATOR,RUTLAND SENATE,3,Blank, , ,16406, ,
2016,STATE SENATOR,WASHINGTON SENATE,3,"JOHN ""JOSH"" FITZHUGH",REPUBLICAN,11712,8233,Registered,FALSE
2016,STATE SENATOR,WASHINGTON SENATE,3,"WILLIAM ""BILL"" DOYLE",REPUBLICAN,3730,13498,Registered,FALSE
2016,STATE SENATOR,WASHINGTON SENATE,3,ANTHONY POLLINA,PROG/DEM,3760,15209,Registered,FALSE
2016,STATE SENATOR,WASHINGTON SENATE,3,"MICHAEL ""MIKE"" DOYLE",REPUBLICAN,18247,8236,Registered,FALSE
2016,STATE SENATOR,WASHINGTON SENATE,3,FRANCIS K. BROOKS,DEMOCRATIC,3728,13687,Registered,FALSE
2016,STATE SENATOR,WASHINGTON SENATE,3,ANN CUMMINGS,DEMOCRATIC,3677,17010,Registered,FALSE
2016,STATE SENATOR,WASHINGTON SENATE,3,Write-in, , ,106, ,
2016,STATE SENATOR,WASHINGTON SENATE,3,Spoiled, , ,35, ,
2016,STATE SENATOR,WASHINGTON SENATE,3,Blank, , ,16798, ,
2016,STATE SENATOR,WINDHAM SENATE,2,JERRY LEVY,LIBERTY UNION,3689,1529,Registered,FALSE
2016,STATE SENATOR,WINDHAM SENATE,2,BECCA BALINT,DEMOCRATIC,3740,11174,Registered,FALSE
2016,STATE SENATOR,WINDHAM SENATE,2,AARON DIAMONDSTONE,LIBERTY UNION,3690,1437,Registered,FALSE
2016,STATE SENATOR,WINDHAM SENATE,2,DAVID SCHOALES,INDEPENDENT,4041,5610,Registered,FALSE
2016,STATE SENATOR,WINDHAM SENATE,2,JEANETTE WHITE,DEMOCRATIC,3741,11451,Registered,FALSE
2016,STATE SENATOR,WINDHAM SENATE,2,Write-in, , ,78, ,
2016,STATE SENATOR,WINDHAM SENATE,2,Spoiled, , ,498, ,
2016,STATE SENATOR,WINDHAM SENATE,2,Blank, , ,10091, ,
2016,STATE SENATOR,WINDSOR SENATE,3,ALICE NITKA,DEMOCRATIC,3700,14430,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,MARK DONKA,REPUBLICAN,3850,9836,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,SCOTT D. WOODWARD,INDEPENDENT,4055,5198,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,JACK WILLIAMS,REPUBLICAN,3844,7460,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,RANDY A. GRAY,REPUBLICAN,3657,8148,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,"RICHARD ""DICK"" MCCORMACK",DEM/PROG,3775,13905,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,ALISON CLARKSON,DEMOCRATIC,3757,15436,Registered,FALSE
2016,STATE SENATOR,WINDSOR SENATE,3,Write-in, , ,87, ,
2016,STATE SENATOR,WINDSOR SENATE,3,Spoiled, , ,52, ,
2016,STATE SENATOR,WINDSOR SENATE,3,Blank, , ,21712, ,
2016,STATE REPRESENTATIVE,ADDISON 1 REP,2,ROBIN SCHEU,DEMOCRATIC,3578,1937,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 1 REP,2,JILL CHARBONNEAU,PROGRESSIVE,3868,1377,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 1 REP,2,AMY SHELDON,DEM/PROG,3683,2210,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 1 REP,2,Write-in, , ,48, ,
2016,STATE REPRESENTATIVE,ADDISON 1 REP,2,Spoiled, , ,2, ,
2016,STATE REPRESENTATIVE,ADDISON 1 REP,2,Blank, , ,1868, ,
2016,STATE REPRESENTATIVE,ADDISON 2 REP,1,PETER CONLON,DEMOCRATIC,3895,2013,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 2 REP,1,Write-in, , ,28, ,
2016,STATE REPRESENTATIVE,ADDISON 2 REP,1,Spoiled, , ,6, ,
2016,STATE REPRESENTATIVE,ADDISON 2 REP,1,Blank, , ,390, ,
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,"FRANK ""FRITZ"" LANGROCK",DEMOCRATIC,3855,1830,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,DIANE LANPHER,DEMOCRATIC,3575,2104,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,MONIQUE THURSTON,REPUBLICAN,3911,1663,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,WARREN VAN WYCK,REPUBLICAN,3738,1984,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,Write-in, , ,2, ,
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,Spoiled, , ,1, ,
2016,STATE REPRESENTATIVE,ADDISON 3 REP,2,Blank, , ,1026, ,
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,MARI CORDES,PROG/DEM,3941,1758,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,DAVE SHARPE,DEMOCRATIC,3767,2386,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,VALERIE MULLIN,REPUBLICAN,3831,1777,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,FRED K. BASER,REPUBLICAN,3770,2530,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,Write-in, , ,7, ,
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,ADDISON 4 REP,2,Blank, , ,1394, ,
2016,STATE REPRESENTATIVE,ADDISON 5 REP,1,TABORRI BRUHL,DEMOCRATIC,18275,1062,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 5 REP,1,HARVEY T. SMITH,REPUBLICAN,3905,1196,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON 5 REP,1,Write-in, , ,1, ,
2016,STATE REPRESENTATIVE,ADDISON 5 REP,1,Spoiled, , ,1, ,
2016,STATE REPRESENTATIVE,ADDISON 5 REP,1,Blank, , ,69, ,
2016,STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,ALYSON EASTMAN,INDEPENDENT,3928,1722,Registered,FALSE
2016,STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,Write-in, , ,34, ,
2016,STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,Spoiled, , ,8, ,
2016,STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,Blank, , ,270, ,
2016,STATE REPRESENTATIVE,BENNINGTON 1 REP,1,JAMES A. O'CONNOR,INDEPENDENT,18408,276,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 1 REP,1,BILL BOTZOW,DEMOCRATIC,3621,1503,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 1 REP,1,Write-in, , ,0, ,
2016,STATE REPRESENTATIVE,BENNINGTON 1 REP,1,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,BENNINGTON 1 REP,1,Blank, , ,57, ,
2016,STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,TIMOTHY R. CORCORAN II,DEMOCRATIC,3579,2316,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,RACHAEL FIELDS,DEMOCRATIC,3779,1870,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,Write-in, , ,61, ,
2016,STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,Blank, , ,1997, ,
2016,STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,KIAH MORRIS,DEMOCRATIC,3790,1757,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,MARY A. MORRISSEY,REPUBLICAN,3885,2143,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,Write-in, , ,24, ,
2016,STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,Blank, , ,2174, ,
2016,STATE REPRESENTATIVE,BENNINGTON 3 REP,1,ALICE MILLER,DEMOCRATIC,3586,1517,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 3 REP,1,Write-in, , ,44, ,
2016,STATE REPRESENTATIVE,BENNINGTON 3 REP,1,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,BENNINGTON 3 REP,1,Blank, , ,411, ,
2016,STATE REPRESENTATIVE,BENNINGTON 4 REP,2,CYNTHIA BROWNING,DEMOCRATIC,3804,2095,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 4 REP,2,BRIAN KEEFE,REPUBLICAN,3902,2297,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 4 REP,2,STEVE BERRY,DEMOCRATIC,3643,1998,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON 4 REP,2,Write-in, , ,17, ,
2016,STATE REPRESENTATIVE,BENNINGTON 4 REP,2,Spoiled, , ,4, ,
2016,STATE REPRESENTATIVE,BENNINGTON 4 REP,2,Blank, , ,2319, ,
2016,STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,LINDA JOY SULLIVAN,DEMOCRATIC,3577,1205,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,"JOHN P. ""JACK"" STANNARD",REPUBLICAN,3918,965,Registered,FALSE
2016,STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,Write-in, , ,5, ,
2016,STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,Blank, , ,131, ,
2016,STATE REPRESENTATIVE,CALEDONIA-1 REP,1,MARCIA ROBINSON MARTEL,REPUBLICAN,3635,1799,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-1 REP,1,Write-in, , ,70, ,
2016,STATE REPRESENTATIVE,CALEDONIA-1 REP,1,Spoiled, , ,5, ,
2016,STATE REPRESENTATIVE,CALEDONIA-1 REP,1,Blank, , ,413, ,
2016,STATE REPRESENTATIVE,CALEDONIA-2 REP,1,CHIP TROIANO,DEMOCRATIC,3960,1065,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-2 REP,1,LAWRENCE W. HAMEL,REPUBLICAN,3961,907,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-2 REP,1,Write-in, , ,0, ,
2016,STATE REPRESENTATIVE,CALEDONIA-2 REP,1,Spoiled, , ,1, ,
2016,STATE REPRESENTATIVE,CALEDONIA-2 REP,1,Blank, , ,67, ,
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,JANSSEN WILLHOIT,REPUBLICAN,3632,1234,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,COREY RAYNOR,DEMOCRATIC,3853,461,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,SCOTT BECK,REPUBLICAN,3631,1655,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,PHILIP ALDRIDGE,INDEPENDENT,4054,722,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,SCOTT CAMPBELL,DEMOCRATIC,3794,1155,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,Write-in, , ,8, ,
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,Spoiled, , ,4, ,
2016,STATE REPRESENTATIVE,CALEDONIA-3 REP,2,Blank, , ,865, ,
2016,STATE REPRESENTATIVE,CALEDONIA-4 REP,2,"MARTHA ""MARTY"" FELTUS",REPUBLICAN,3860,1893,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-4 REP,2,RICHARD LAWRENCE,REPUBLICAN,3830,1886,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-4 REP,2,PATRICK SEYMOUR,DEMOCRATIC,3571,1490,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-4 REP,2,Write-in, , ,23, ,
2016,STATE REPRESENTATIVE,CALEDONIA-4 REP,2,Spoiled, , ,1, ,
2016,STATE REPRESENTATIVE,CALEDONIA-4 REP,2,Blank, , ,1473, ,
2016,STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,KITTY BEATTIE TOLL,DEMOCRATIC,3940,1551,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,CRAIG R. VANCE,REPUBLICAN,3939,1019,Registered,FALSE
2016,STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,Write-in, , ,7, ,
2016,STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,Spoiled, , ,5, ,
2016,STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,Blank, , ,47, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 10 REP,2,RON HUBERT,REPUBLICAN,3636,2762,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 10 REP,2,DONALD H. TURNER JR,REPUBLICAN,3726,3384,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 10 REP,2,Write-in, , ,83, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 10 REP,2,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 10 REP,2,Blank, , ,2633, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 4-1 REP,1,MIKE YANTACHKA,DEMOCRATIC,3633,2096,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 4-1 REP,1,Write-in, , ,19, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 4-1 REP,1,Spoiled, , ,13, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 4-1 REP,1,Blank, , ,514, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 4-2 REP,1,BILL LIPPERT,DEMOCRATIC,3802,2085,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 4-2 REP,1,Write-in, , ,62, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 4-2 REP,1,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 4-2 REP,1,Blank, , ,540, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 5-1 REP,1,KATE WEBB,DEMOCRATIC,3637,2179,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 5-1 REP,1,Write-in, , ,0, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 5-1 REP,1,Spoiled, , ,0, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 5-1 REP,1,Blank, , ,0, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 5-2 REP,1,JESSICA COMAI BRUMSTED,DEMOCRATIC,3909,1417,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 5-2 REP,1,BRUCE ELMORE,INDEPENDENT,4040,835,Registered,FALSE
2016,STATE REPRESENTATIVE,CHITTENDEN 5-2 REP,1,Write-in, , ,0, ,
2016,STATE REPRESENTATIVE,CHITTENDEN 5-2 REP,1,Spoiled, , ,0, ,
